Male_ID,Time,Treatment ,Sperm motility 
1,0,no fat,8.4965
1,2,no fat,4.1404
1,4,no fat,1.926
1,6,no fat,1.8636
1,8,no fat,1.8304
1,0,plant fat,18.76937
1,2,plant fat,7.984367
1,4,plant fat,5.777133
1,6,plant fat,3.992567
1,8,plant fat,3.408267
1,0,animal fat,11.53533333
1,2,animal fat,9.027533333
1,4,animal fat,4.839066667
1,6,animal fat,3.5097
1,8,animal fat,2.6935
2,0,no fat,11.344
2,2,no fat,9.6932
2,4,no fat,7.8055
2,6,no fat,7.8089
2,8,no fat,7.6087
2,0,plant fat,13.19253333
2,2,plant fat,10.78753333
2,4,plant fat,6.462633333
2,6,plant fat,3.583033333
2,8,plant fat,3.0621
2,0,animal fat,14.83956667
2,2,animal fat,11.50943333
2,4,animal fat,5.939166667
2,6,animal fat,4.224033333
2,8,animal fat,3.110533333
3,0,no fat,8.2097
3,2,no fat,5.7107
3,4,no fat,3.7363
3,6,no fat,2.9224
3,8,no fat,2.339
3,0,plant fat,13.0837
3,2,plant fat,8.3124
3,4,plant fat,4.9547
3,6,plant fat,3.7788
3,8,plant fat,3.328366667
3,0,animal fat,14.62516667
3,2,animal fat,11.16923333
3,4,animal fat,8.3638
3,6,animal fat,7.2374
3,8,animal fat,6.2876
4,0,no fat,9.340033333
4,2,no fat,7.073466667
4,4,no fat,4.705566667
4,6,no fat,2.9638
4,8,no fat,3.013666667
4,0,plant fat,9.2739
4,2,plant fat,6.5091
4,4,plant fat,4.5488
4,6,plant fat,3.0274
4,8,plant fat,2.495033333
4,0,animal fat,10.89706667
4,2,animal fat,4.847633333
4,4,animal fat,2.667866667
4,6,animal fat,2.2497
4,8,animal fat,2.004166667
5,0,no fat,13.54093333
5,2,no fat,8.244266667
5,4,no fat,5.016533333
5,6,no fat,3.7712
5,8,no fat,3.139566667
5,0,plant fat,16.61186667
5,2,plant fat,10.91603333
5,4,plant fat,7.850966667
5,6,plant fat,7.003133333
5,8,plant fat,5.8589
5,0,animal fat,14.89883333
5,2,animal fat,10.5431
5,4,animal fat,6.441766667
5,6,animal fat,4.105933333
5,8,animal fat,3.2771
6,0,no fat,7.494233333
6,2,no fat,2.072433333
6,4,no fat,1.7443
6,6,no fat,1.666433333
6,8,no fat,1.64
6,0,plant fat,12.25236667
6,2,plant fat,8.473133333
6,4,plant fat,6.0441
6,6,plant fat,2.770966667
6,8,plant fat,2.3945
6,0,animal fat,15.3396
6,2,animal fat,11.3468
6,4,animal fat,8.989333333
6,6,animal fat,7.4892
6,8,animal fat,7.248433333
7,0,no fat,11.4705
7,2,no fat,6.9407
7,4,no fat,4.082233333
7,6,no fat,3.248666667
7,8,no fat,2.901466667
7,0,animal fat,10.81903333
7,2,animal fat,6.644633333
7,4,animal fat,3.683633333
7,6,animal fat,2.221333333
7,8,animal fat,2.0738