male_ID,Time,Treatment ,Sperm motility
1,0,No fat,9.490333333
1,2,No fat,10.22393333
1,4,No fat,8.674433333
1,6,No fat,7.8908
1,8,No fat,7.574933333
1,10,No fat,7.082166667
1,12,No fat,6.453033333
1,0,Plant fat,12.96967
1,2,Plant fat,11.73967
1,4,Plant fat,11.78557
1,6,Plant fat,10.04503
1,8,Plant fat,9.233533
1,10,Plant fat,8.849167
1,12,Plant fat,7.666667
1,0,Animal fat,7.689267
1,2,Animal fat,7.795467
1,4,Animal fat,6.833733
1,6,Animal fat,6.1085
1,8,Animal fat,5.407333
1,10,Animal fat,5.1577
1,12,Animal fat,4.7752
2,0,No fat,10.71683333
2,2,No fat,8.690466667
2,4,No fat,7.5321
2,6,No fat,6.147833333
2,8,No fat,5.4456
2,10,No fat,5.047166667
2,12,No fat,4.436466667
2,0,Plant fat,11.13427
2,2,Plant fat,9.752833
2,4,Plant fat,8.541833
2,6,Plant fat,8.701767
2,8,Plant fat,8.0023
2,10,Plant fat,8.0433
2,12,Plant fat,7.6945
2,0,Animal fat,8.974333
2,2,Animal fat,7.4818
2,4,Animal fat,6.698633
2,6,Animal fat,
2,8,Animal fat,6.1597
2,10,Animal fat,5.982433
2,12,Animal fat,5.701533
3,0,No fat,8.6002
3,2,No fat,8.9051
3,4,No fat,8.1095
3,6,No fat,7.262066667
3,8,No fat,6.743233333
3,10,No fat,6.042166667
3,12,No fat,5.355566667
3,0,Plant fat,5.664033
3,2,Plant fat,5.7667
3,4,Plant fat,5.222767
3,6,Plant fat,4.9056
3,8,Plant fat,4.5031
3,10,Plant fat,4.5542
3,12,Plant fat,4.1729
3,0,Animal fat,18.36147
3,2,Animal fat,14.38847
3,4,Animal fat,14.79633
3,6,Animal fat,14.30137
3,8,Animal fat,12.88443
3,10,Animal fat,12.51207
3,12,Animal fat,11.03743
4,0,No fat,12.56243333
4,2,No fat,10.2173
4,4,No fat,11.55143333
4,6,No fat,9.2158
4,8,No fat,7.524166667
4,10,No fat,7.063566667
4,12,No fat,5.782366667
4,0,Plant fat,12.335
4,2,Plant fat,10.37593
4,4,Plant fat,10.34483
4,6,Plant fat,9.874967
4,8,Plant fat,8.161167
4,10,Plant fat,8.0266
4,12,Plant fat,7.391533
4,0,Animal fat,12.7191
4,2,Animal fat,12.00407
4,4,Animal fat,12.56377
4,6,Animal fat,11.63147
4,8,Animal fat,11.515
4,10,Animal fat,10.22407
4,12,Animal fat,9.670433
5,0,No fat,20.5296667
5,2,No fat,16.3729
5,4,No fat,14.9655
5,6,No fat,15.5539
5,8,No fat,15.5574333
5,10,No fat,14.6438333
5,12,No fat,13.8402667
5,0,Plant fat,15.19793
5,2,Plant fat,12.2106
5,4,Plant fat,11.36687
5,6,Plant fat,10.00793
5,8,Plant fat,10.09067
5,10,Plant fat,9.143267
5,12,Plant fat,9.136233
5,0,Animal fat,8.987867
5,2,Animal fat,8.452033
5,4,Animal fat,7.968733
5,6,Animal fat,7.1662
5,8,Animal fat,7.858367
5,10,Animal fat,7.184767
5,12,Animal fat,7.0304
6,0,No fat,11.7006
6,2,No fat,14.6081333
6,4,No fat,11.1393
6,6,No fat,11.8047667
6,8,No fat,12.5969
6,10,No fat,13.5953333
6,12,No fat,12.5443333
6,0,Plant fat,9.622133
6,2,Plant fat,8.7225
6,4,Plant fat,7.621467
6,6,Plant fat,7.332933
6,8,Plant fat,6.4039
6,10,Plant fat,5.2247
6,12,Plant fat,5.4539
6,0,Animal fat,11.37637
6,2,Animal fat,11.321
6,4,Animal fat,8.2188
6,6,Animal fat,9.267233
6,8,Animal fat,10.2648
6,10,Animal fat,9.699033
6,12,Animal fat,9.5546
7,0,No fat,12.3120333
7,2,No fat,11.9506333
7,4,No fat,11.2128333
7,6,No fat,10.5532667
7,8,No fat,9.15056667
7,10,No fat,8.7259
7,12,No fat,8.89516667
7,0,Plant fat,10.2914
7,2,Plant fat,10.74603
7,4,Plant fat,8.799967
7,6,Plant fat,7.985667
7,8,Plant fat,8.7624
7,10,Plant fat,8.5067
7,12,Plant fat,8.787067
7,0,Animal fat,9.6644
7,2,Animal fat,8.9411
7,4,Animal fat,8.699467
7,6,Animal fat,7.7866
7,8,Animal fat,7.6841
7,10,Animal fat,7.295033
7,12,Animal fat,6.788267