male_ID,treatment,male_age,time_factor,mean.sperm.motility
1,with seminal fluid,2,0,14.10666667
1,with seminal fluid,2,2,11.06666667
1,with seminal fluid,2,4,10.10666667
1,with seminal fluid,2,6,9.49
1,without seminal fluid,2,0,7.566666667
1,without seminal fluid,2,2,2.603333333
1,without seminal fluid,2,4,2.716666667
1,without seminal fluid,2,6,2.796666667
2,without seminal fluid,2,0,7.643333333
2,without seminal fluid,2,2,5.276666667
2,without seminal fluid,2,4,3.226666667
2,without seminal fluid,2,6,2.606666667
2,with seminal fluid,2,0,14.15666667
2,with seminal fluid,2,2,11.29333333
2,with seminal fluid,2,4,10.41333333
2,with seminal fluid,2,6,9.653333333
3,with seminal fluid,2,0,6.05
3,with seminal fluid,2,2,4.743333333
3,with seminal fluid,2,4,1.953333333
3,with seminal fluid,2,6,1.696666667
3,without seminal fluid,2,0,4.17
3,without seminal fluid,2,2,2.17
3,without seminal fluid,2,4,1.786666667
3,without seminal fluid,2,6,1.616666667
4,without seminal fluid,2,0,7.89
4,without seminal fluid,2,2,6.05
4,without seminal fluid,2,4,5.52
4,without seminal fluid,2,6,3.06
4,with seminal fluid,2,0,7.183333333
4,with seminal fluid,2,2,3.566666667
4,with seminal fluid,2,4,2.193333333
4,with seminal fluid,2,6,1.91
5,with seminal fluid,2,0,11.32666667
5,with seminal fluid,2,2,9.696666667
5,with seminal fluid,2,4,8.67
5,with seminal fluid,2,6,6.916666667
5,without seminal fluid,2,0,7.373333333
5,without seminal fluid,2,2,4.093333333
5,without seminal fluid,2,4,4.146666667
5,without seminal fluid,2,6,2.61
7,with seminal fluid,2,0,10.01333333
7,with seminal fluid,2,2,7.936666667
7,with seminal fluid,2,4,5.863333333
7,with seminal fluid,2,6,3.463333333
7,without seminal fluid,2,0,3.13
7,without seminal fluid,2,2,2.363333333
7,without seminal fluid,2,4,2.166666667
7,without seminal fluid,2,6,2.066666667
9,without seminal fluid,5,0,2.57
9,without seminal fluid,5,2,1.88
9,without seminal fluid,5,4,1.506666667
9,without seminal fluid,5,6,1.383333333
9,with seminal fluid,5,0,12.61
9,with seminal fluid,5,2,11.16666667
9,with seminal fluid,5,4,10.36333333
9,with seminal fluid,5,6,9.163333333
10,with seminal fluid,5,0,14.46666667
10,with seminal fluid,5,2,12.72333333
10,with seminal fluid,5,4,10.15666667
10,with seminal fluid,5,6,8.626666667
10,without seminal fluid,5,0,7.25
10,without seminal fluid,5,2,5.77
10,without seminal fluid,5,4,3.14
10,without seminal fluid,5,6,3.06
11,without seminal fluid,5,0,11.54333333
11,without seminal fluid,5,2,10.07333333
11,without seminal fluid,5,4,8.12
11,without seminal fluid,5,6,7.253333333
11,with seminal fluid,5,0,10.90666667
11,with seminal fluid,5,2,10.77
11,with seminal fluid,5,4,9.89
11,with seminal fluid,5,6,9.336666667
12,with seminal fluid,5,0,10.21666667
12,with seminal fluid,5,2,7.826666667
12,with seminal fluid,5,4,6.07
12,with seminal fluid,5,6,6.176666667
12,without seminal fluid,5,0,13.10333333
12,without seminal fluid,5,2,7.686666667
12,without seminal fluid,5,4,5.843333333
12,without seminal fluid,5,6,4.156666667
13,without seminal fluid,5,0,10.60666667
13,without seminal fluid,5,2,7.416666667
13,without seminal fluid,5,4,6.06
13,without seminal fluid,5,6,5.586666667
13,with seminal fluid,5,0,10.17333333
13,with seminal fluid,5,2,6.97
13,with seminal fluid,5,4,5.54
13,with seminal fluid,5,6,4.853333333
14,with seminal fluid,5,0,13.78
14,with seminal fluid,5,2,11.49
14,with seminal fluid,5,4,9.746666667
14,with seminal fluid,5,6,8.036666667
14,without seminal fluid,5,0,12.89333333
14,without seminal fluid,5,2,10.89
14,without seminal fluid,5,4,9.82
14,without seminal fluid,5,6,9.193333333
16,with seminal fluid,9,0,15.30333333
16,with seminal fluid,9,2,13.19666667
16,with seminal fluid,9,4,9.653333333
16,with seminal fluid,9,6,5.693333333
16,without seminal fluid,9,0,8.963333333
16,without seminal fluid,9,2,7.11
16,without seminal fluid,9,4,4.863333333
16,without seminal fluid,9,6,3.983333333
17,without seminal fluid,9,0,14.01
17,without seminal fluid,9,2,10.51333333
17,without seminal fluid,9,4,8.703333333
17,without seminal fluid,9,6,7.95
17,with seminal fluid,9,0,12.35666667
17,with seminal fluid,9,2,8.736666667
17,with seminal fluid,9,4,6.833333333
17,with seminal fluid,9,6,5.536666667
18,with seminal fluid,9,0,15.50333333
18,with seminal fluid,9,2,13.24333333
18,with seminal fluid,9,4,12.73666667
18,with seminal fluid,9,6,11.35
18,without seminal fluid,9,0,5.243333333
18,without seminal fluid,9,2,4.106666667
18,without seminal fluid,9,4,2.72
18,without seminal fluid,9,6,2.426666667
19,without seminal fluid,9,0,12.53333333
19,without seminal fluid,9,2,10.04666667
19,without seminal fluid,9,4,8.413333333
19,without seminal fluid,9,6,7.75
19,with seminal fluid,9,0,14.38666667
19,with seminal fluid,9,2,13.46333333
19,with seminal fluid,9,4,12.85333333
19,with seminal fluid,9,6,11.70666667
20,with seminal fluid,9,0,12.87
20,with seminal fluid,9,2,11.52333333
20,with seminal fluid,9,4,10.81333333
20,with seminal fluid,9,6,9.986666667
20,without seminal fluid,9,0,5.313333333
20,without seminal fluid,9,2,3.343333333
20,without seminal fluid,9,4,2.726666667
20,without seminal fluid,9,6,2.603333333
21,without seminal fluid,9,0,11.20333333
21,without seminal fluid,9,2,9.576666667
21,without seminal fluid,9,4,8.25
21,without seminal fluid,9,6,6.673333333
21,with seminal fluid,9,0,13.62666667
21,with seminal fluid,9,2,11.59
21,with seminal fluid,9,4,9.296666667
21,with seminal fluid,9,6,8.58
23,without seminal fluid,12,0,15.89333333
23,without seminal fluid,12,2,12.10333333
23,without seminal fluid,12,4,10.11666667
23,without seminal fluid,12,6,8.626666667
23,with seminal fluid,12,0,3.343333333
23,with seminal fluid,12,2,2.436666667
23,with seminal fluid,12,4,1.513333333
23,with seminal fluid,12,6,1.283333333
24,with seminal fluid,12,0,12
24,with seminal fluid,12,2,10.26666667
24,with seminal fluid,12,4,9.19
24,with seminal fluid,12,6,8.013333333
24,without seminal fluid,12,0,10.79333333
24,without seminal fluid,12,2,9.723333333
24,without seminal fluid,12,4,8.423333333
24,without seminal fluid,12,6,7.213333333
25,without seminal fluid,12,0,10.75333333
25,without seminal fluid,12,2,11.10666667
25,without seminal fluid,12,4,6.956666667
25,without seminal fluid,12,6,4.516666667
25,with seminal fluid,12,0,13.96666667
25,with seminal fluid,12,2,10.95666667
25,with seminal fluid,12,4,8.583333333
25,with seminal fluid,12,6,5.913333333
26,with seminal fluid,12,0,14.38
26,with seminal fluid,12,2,12.74333333
26,with seminal fluid,12,4,11.92333333
26,with seminal fluid,12,6,11.46
26,without seminal fluid,12,0,12.82333333
26,without seminal fluid,12,2,10.91333333
26,without seminal fluid,12,4,9.216666667
26,without seminal fluid,12,6,8.303333333
27,without seminal fluid,12,0,12.20333333
27,without seminal fluid,12,2,11.25
27,without seminal fluid,12,4,9.773333333
27,without seminal fluid,12,6,8.57
27,with seminal fluid,12,0,16.65333333
27,with seminal fluid,12,2,15.58
27,with seminal fluid,12,4,14.76666667
27,with seminal fluid,12,6,14.37
28,with seminal fluid,12,0,15.32333333
28,with seminal fluid,12,2,15.78333333
28,with seminal fluid,12,4,13.00333333
28,with seminal fluid,12,6,11.53
28,without seminal fluid,12,0,6.463333333
28,without seminal fluid,12,2,3.506666667
28,without seminal fluid,12,4,3.303333333
28,without seminal fluid,12,6,2.883333333
29,without seminal fluid,12,0,13.16333333
29,without seminal fluid,12,2,9.41
29,without seminal fluid,12,4,8.093333333
29,without seminal fluid,12,6,7.436666667
29,with seminal fluid,12,0,14.37333333
29,with seminal fluid,12,2,9.133333333
29,with seminal fluid,12,4,8.21
29,with seminal fluid,12,6,7.4