male_ID,time_factor,treatment_combination,sperm_motility
1,0,young sperm with young SF,8.179033333
1,2,young sperm with young SF,6.746066667
1,4,young sperm with young SF,6.2026
1,6,young sperm with young SF,5.95
2,0,young sperm with old SF,7.829166667
2,2,young sperm with old SF,7.047966667
2,4,young sperm with old SF,5.9737
2,6,young sperm with old SF,5.473266667
3,0,old sperm with old SF,9.793533333
3,2,old sperm with old SF,7.748433333
3,4,old sperm with old SF,6.481166667
3,6,old sperm with old SF,5.886666667
4,0,old sperm with young SF,2.113
4,2,old sperm with young SF,1.935366667
4,4,old sperm with young SF,2.125766667
4,6,old sperm with young SF,2.204633333
5,0,young sperm with young SF,8.703566667
5,2,young sperm with young SF,8.3082
5,4,young sperm with young SF,7.722433333
5,6,young sperm with young SF,7.3927
6,0,young sperm with young SF,12.0352
6,2,young sperm with young SF,10.69
6,4,young sperm with young SF,4.984666667
6,6,young sperm with young SF,3.224566667
7,0,young sperm with old SF,5.3983
7,2,young sperm with old SF,3.921966667
7,4,young sperm with old SF,3.7763
7,6,young sperm with old SF,3.448133333
8,0,old sperm with old SF,8.614466667
8,2,old sperm with old SF,6.787433333
8,4,old sperm with old SF,5.242666667
8,6,old sperm with old SF,2.862933333
9,0,old sperm with young SF,8.9085
9,2,old sperm with young SF,8.542
9,4,old sperm with young SF,7.602066667
9,6,old sperm with young SF,6.9038
10,0,old sperm with young SF,9.5323
10,2,old sperm with young SF,8.6924
10,4,old sperm with young SF,8.173666667
10,6,old sperm with young SF,7.694333333
11,0,old sperm with old SF,6.766466667
11,2,old sperm with old SF,4.947666667
11,4,old sperm with old SF,4.510333333
11,6,old sperm with old SF,3.835533333
12,0,old sperm with young SF,11.57253333
12,2,old sperm with young SF,8.0793
12,4,old sperm with young SF,6.910566667
12,6,old sperm with young SF,4.871
13,0,young sperm with young SF,5.962566667
13,2,young sperm with young SF,5.1848
13,4,young sperm with young SF,5.052433333
13,6,young sperm with young SF,4.402866667
14,0,young sperm with old SF,9.239266667
14,2,young sperm with old SF,8.356
14,4,young sperm with old SF,7.2188
14,6,young sperm with old SF,6.580533333
15,0,old sperm with old SF,5.469066667
15,2,old sperm with old SF,4.6533
15,4,old sperm with old SF,3.079866667
15,6,old sperm with old SF,1.969833333
16,0,old sperm with old SF,6.163966667
16,2,old sperm with old SF,4.8574
16,4,old sperm with old SF,3.165
16,6,old sperm with old SF,2.455933333
17,0,old sperm with young SF,9.948433333
17,2,old sperm with young SF,9.048433333
17,4,old sperm with young SF,9.1102
17,6,old sperm with young SF,8.7507
18,0,young sperm with young SF,6.956433333
18,2,young sperm with young SF,5.0745
18,4,young sperm with young SF,4.197133333
18,6,young sperm with young SF,2.9832
19,0,young sperm with old SF,8.3467
19,2,young sperm with old SF,6.1467
19,4,young sperm with old SF,5.135733333
19,6,young sperm with old SF,4.689466667
20,0,young sperm with old SF,8.5739
20,2,young sperm with old SF,7.4087
20,4,young sperm with old SF,6.776266667
20,6,young sperm with old SF,6.397233333
21,0,young sperm with old SF,7.661866667
21,2,young sperm with old SF,6.2494
21,4,young sperm with old SF,5.124133333
21,6,young sperm with old SF,4.464733333
22,0,young sperm with young SF,13.36883333
22,2,young sperm with young SF,10.3084
22,4,young sperm with young SF,8.006566667
22,6,young sperm with young SF,6.436133333
23,0,young sperm with old SF,11.02126667
23,2,young sperm with old SF,8.3351
23,4,young sperm with old SF,7.2898
23,6,young sperm with old SF,6.4877
24,0,old sperm with old SF,9.625066667
24,2,old sperm with old SF,9.672466667
24,4,old sperm with old SF,9.429266667
24,6,old sperm with old SF,8.738033333
26,0,young sperm with young SF,11.7979
26,2,young sperm with young SF,8.791
26,4,young sperm with young SF,7.117266667
26,6,young sperm with young SF,5.663133333
27,0,young sperm with old SF,10.86026667
27,2,young sperm with old SF,9.2567
27,4,young sperm with old SF,8.6009
27,6,young sperm with old SF,8.297233333
29,0,old sperm with young SF,6.014266667
29,2,old sperm with young SF,4.453
29,4,old sperm with young SF,3.933866667
29,6,old sperm with young SF,3.606933333
30,0,young sperm with young SF,10.2055
30,2,young sperm with young SF,7.672333333
30,4,young sperm with young SF,6.423833333
30,6,young sperm with young SF,5.682533333
31,0,old sperm with old SF,2.845333333
31,2,old sperm with old SF,1.672166667
31,4,old sperm with old SF,1.5352
31,6,old sperm with old SF,1.504633333
32,0,old sperm with young SF,9.660066667
32,2,old sperm with young SF,9.0768
32,4,old sperm with young SF,8.460466667
32,6,old sperm with young SF,7.560566667
33,0,young sperm with young SF,9.476133333
33,2,young sperm with young SF,7.9848
33,4,young sperm with young SF,6.942333333
33,6,young sperm with young SF,6.4323
34,0,young sperm with old SF,9.1417
34,2,young sperm with old SF,7.502533333
34,4,young sperm with old SF,6.606333333
34,6,young sperm with old SF,6.039833333
35,0,old sperm with old SF,9.698733333
35,2,old sperm with old SF,8.4655
35,4,old sperm with old SF,7.327933333
35,6,old sperm with old SF,6.921566667
36,0,old sperm with young SF,11.5401
36,2,old sperm with young SF,10.40836667
36,4,old sperm with young SF,9.048433333
36,6,old sperm with young SF,8.873933333
37,0,young sperm with young SF,10.56563333
37,2,young sperm with young SF,9.368333333
37,4,young sperm with young SF,8.746833333
37,6,young sperm with young SF,8.003266667
38,0,young sperm with old SF,9.054
38,2,young sperm with old SF,8.271166667
38,4,young sperm with old SF,7.6208
38,6,young sperm with old SF,9.9649
39,0,old sperm with old SF,7.180566667
39,2,old sperm with old SF,5.5244
39,4,old sperm with old SF,4.505566667
39,6,old sperm with old SF,3.746433333
40,0,old sperm with young SF,9.104466667
40,2,old sperm with young SF,7.576266667
40,4,old sperm with young SF,6.472733333
40,6,old sperm with young SF,5.197266667
41,0,young sperm with young SF,9.175066667
41,2,young sperm with young SF,7.336166667
41,4,young sperm with young SF,6.038166667
41,6,young sperm with young SF,5.331833333
42,0,young sperm with old SF,12.02786667
42,2,young sperm with old SF,9.356
42,4,young sperm with old SF,8.7558
42,6,young sperm with old SF,8.462
43,0,old sperm with young SF,9.359266667
43,2,old sperm with young SF,7.555966667
43,4,old sperm with young SF,6.5103
43,6,old sperm with young SF,5.7755
44,0,old sperm with old SF,8.636433333
44,2,old sperm with old SF,6.790866667
44,4,old sperm with old SF,5.595366667
44,6,old sperm with old SF,3.923233333
45,0,young sperm with old SF,5.950266667
45,2,young sperm with old SF,4.696033333
45,4,young sperm with old SF,3.840833333
45,6,young sperm with old SF,3.579433333
46,0,old sperm with young SF,8.258433333
46,2,old sperm with young SF,6.5406
46,4,old sperm with young SF,5.381666667
46,6,old sperm with young SF,4.968166667
47,0,old sperm with old SF,8.942333333
47,2,old sperm with old SF,7.914533333
47,4,old sperm with old SF,7.669766667
47,6,old sperm with old SF,7.191033333
48,0,young sperm with young SF,5.194166667
48,2,young sperm with young SF,3.772766667
48,4,young sperm with young SF,3.6756
48,6,young sperm with young SF,3.625333333
49,0,old sperm with young SF,7.127433333
49,2,old sperm with young SF,5.5727
49,4,old sperm with young SF,5.0104
49,6,old sperm with young SF,4.7221
50,0,old sperm with old SF,9.0836
50,2,old sperm with old SF,6.836966667
50,4,old sperm with old SF,5.480866667
50,6,old sperm with old SF,4.530133333
51,0,young sperm with young SF,7.134066667
51,2,young sperm with young SF,4.9641
51,4,young sperm with young SF,4.187466667
51,6,young sperm with young SF,5.3643
52,0,young sperm with old SF,12.2877
52,2,young sperm with old SF,11.44056667
52,4,young sperm with old SF,10.88736667
52,6,young sperm with old SF,10.15693333
53,0,old sperm with old SF,7.040066667
53,2,old sperm with old SF,5.405833333
53,4,old sperm with old SF,4.386933333
53,6,old sperm with old SF,3.590333333
54,0,old sperm with old SF,5.900566667
54,2,old sperm with old SF,4.637066667
54,4,old sperm with old SF,3.9758
54,6,old sperm with old SF,3.381766667
55,0,old sperm with young SF,10.1737
55,2,old sperm with young SF,9.760666667
55,4,old sperm with young SF,8.914333333
55,6,old sperm with young SF,7.237466667
56,0,old sperm with young SF,6.251066667
56,2,old sperm with young SF,5.409533333
56,4,old sperm with young SF,4.102366667
56,6,old sperm with young SF,3.4774
57,0,young sperm with young SF,9.238266667
57,2,young sperm with young SF,8.140766667
57,4,young sperm with young SF,7.417966667
57,6,young sperm with young SF,5.661333333
58,0,young sperm with young SF,7.4469
58,2,young sperm with young SF,5.4894
58,4,young sperm with young SF,4.687466667
58,6,young sperm with young SF,4.015733333
59,0,young sperm with old SF,9.747333333
59,2,young sperm with old SF,7.186266667
59,4,young sperm with old SF,5.869366667
59,6,young sperm with old SF,4.678
60,0,young sperm with old SF,3.51
60,2,young sperm with old SF,2.680433333
60,4,young sperm with old SF,2.2288
60,6,young sperm with old SF,1.993533333
61,0,old sperm with old SF,4.138966667
61,2,old sperm with old SF,3.818433333
61,4,old sperm with old SF,3.021966667
61,6,old sperm with old SF,3.757866667
62,0,old sperm with old SF,8.627066667
62,2,old sperm with old SF,7.5813
62,4,old sperm with old SF,7.397766667
62,6,old sperm with old SF,7.0226
63,0,old sperm with young SF,10.6716
63,2,old sperm with young SF,7.130433333
63,4,old sperm with young SF,5.1165
63,6,old sperm with young SF,3.9552
64,0,old sperm with young SF,1.827133333
64,2,old sperm with young SF,1.557933333
64,4,old sperm with young SF,1.424166667
64,6,old sperm with young SF,1.357066667
65,0,young sperm with young SF,8.740666667
65,2,young sperm with young SF,8.4275
65,4,young sperm with young SF,8.019766667
65,6,young sperm with young SF,7.832866667
66,0,young sperm with young SF,4.4485
66,2,young sperm with young SF,2.777133333
66,4,young sperm with young SF,1.7252
66,6,young sperm with young SF,1.482066667
67,0,young sperm with old SF,8.421333333
67,2,young sperm with old SF,8.1557
67,4,young sperm with old SF,7.110966667
67,6,young sperm with old SF,6.670333333
68,0,young sperm with old SF,8.942566667
68,2,young sperm with old SF,7.845266667
68,4,young sperm with old SF,7.322866667
68,6,young sperm with old SF,6.934933333